rank,name,handle,followers,er,topics
269,El Mundo,@elmundo_es,1.3M,0.73%,"News, Actors, Journalists"
270,𝗘𝗱𝗴𝗮𝗿𝗱 𝗰𝗼𝗻 𝗗 🇪🇸,@cencilloconc,1.3M,3.11%,"Fashion and Accessories, Arts and Crafts"
271,Pol Granch,@polgranch,1.2M,7.46%,"Entertainment and Music, Marketing and Advertising"
272,Alex Hoyer,@alexhoyer_,1.2M,2.21%,"Entertainment and Music, Music, Actors"
273,Carlos Martinez De Jesus,@carlosmartine08,1.2M,1.16%,"Fashion and Accessories, Celebrity, Actors, Modeling"
274,Cristiano Ronaldo Fan Page,@cr7ir,1.2M,0.41%,"News, Soccer, Tennis"
275,Jorge Martin Almoguera,@89jorgemartin,1.2M,3.75%,"Sports, Riders, Motorcycle Racing"
276,Dario Orsi,@darioorsi,1.2M,0.63%,"Entertainment and Music, Celebrity, Actors"
277,VALMIX 🧸,@valmaseda,1.2M,4.79%,Fashion
278,𝘼𝙡𝙚𝙭 𝙈𝙖𝙣𝙙𝙤𝙣 𝙍𝙚𝙮 🦁,@alextopdancerr,1.2M,2.41%,Entertainment and Music
279,Siara🎀,@siiara_,1.2M,4.28%,"Fashion and Accessories, Entertainment and Music"
280,Vanesa  Romero,@vanesa_romero,1.2M,0.4%,"Acting and Drama, Entertainment and Music, Fashion and Accessories, Modeling"
281,Valencia CF 🦇💯,@valenciacf,1.2M,0.53%,"Sports, Soccer, Actors"
282,Carmen Muñoz,@carmenmoriginal,1.2M,0.16%,"Entertainment and Music, Television, Actors"
283,Alvaro Soler,@alvarosolermusic,1.2M,0.47%,"Entertainment and Music, Actors, Music"
284,Elizabeth Clapés,@esmipsicologa,1.2M,2.22%,"Education, Video Gaming"
285,Michela Elías Repetto,@mikkielias95,1.2M,0.57%,"Fitness and Health, Fashion and Accessories, Actors, Modeling"
286,AURELA HOXHA,@hoxha_aurela,1.2M,2.33%,"Entertainment and Music, Modeling, Actors, Celebrities"
287,CRISTINA CASTAÑO,@cristinacastano.3,1.2M,0.77%,"Art, Actors"
288,Juan Amodeo,@amodeo13,1.2M,2.48%,"Entertainment and Music, Celebrity, Actors, Film, Music & Books"
289,Melendi Oficial,@_melendioficial_,1.2M,5%,Actors
290,PEDRO SANDOVAL,@pedrosandovalartist,1.2M,0.82%,Arts and Crafts
291,Malena Narvay,@malena.narvay,1.2M,1.99%,"Acting and Drama, Actors, Modeling"
292,Albert Laro,@albertlaro_,1.2M,1.33%,
293,Ferran,@kingferran,1.2M,5.21%,"family, Entertainment and Music, Funny, Parenting"
294,Serge Ibaka,@sergeibaka,1.2M,1.28%,"Sports, Soccer, Chef, Food"
295,DanielFez,@danielffez,1.2M,2.49%,Arts and Crafts
